Timestamp,What is your age?,What gender do you identify as?,Which part of the world are you from?,What is your academic occupation?,What is your field of study?,What AI tools are you familiar with / know about?,"Since ChatGPT is very popular now days, what do you use this AI generator tool for?",How often do you use ChatGPT?,Do you think that ChatGPT can be considered an unfair tool and can de a disadvantage to some students who do not have access to such AI generators?,"Since AI generators do most of the work for you, do you think it's fair for professors to be harsher when grading your work?",Do you think using ChatGPT is a form of cheating?,Do you think ChatGPT could help students with different learning disabilities?,Do you think that ChatGPT can provide you with unbiased and reliable information?,Do you think universities and schools should allow the use of ChatGPT?
2/25/2023 12:45:27,17-20,Female,"North America (Canada, US...)",Student (undergrad),Arts,ChatGPT,"Educational purposes, Coding help, Research",Whenever I need to get my work done,3,Yes,2,4,3,yes
2/25/2023 12:47:43,17-20,Female,"Europe (France, Bulgaria...)",Student (undergrad),social work,ChatGPT,I don't use it,Never,3,No,1,1,1,yes
2/25/2023 12:47:44,17-20,Female,"Middle East (Lebanon, Jordan...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Coding help, Research","Everyday, its part of my daily routine",4,No,1,5,3,yes
2/25/2023 12:58:02,21-23,Male,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,I don't use it,Never,2,No,5,2,3,no
2/25/2023 12:59:45,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Life / Health Sciences,ChatGPT,"Educational purposes, Coding help, Research, Entertainment, Proof-reading and writing help, Creative purposes","Everyday, its part of my daily routine",3,Yes,4,4,4,yes
2/25/2023 12:59:53,17-20,Female,"North America (Canada, US...)",Student (undergrad),Business Studies,ChatGPT,"Educational purposes, Research, Creative purposes",Several times a month,5,No,3,3,2,yes
2/25/2023 13:01:25,17-20,Female,"North America (Canada, US...)",Student (undergrad),Business Studies,"Jasper, ChatGPT","Educational purposes, Research, Proof-reading and writing help, Creative purposes",Several times a week,3,Yes,2,4,3,yes
2/25/2023 13:05:35,17-20,Female,"South Asia (India, Sri Lanka...)",Student (undergrad),Computer Science,ChatGPT,"Educational purposes, Entertainment",Several times a week,3,Yes,2,4,4,yes
2/25/2023 13:06:52,17-20,Male,"Europe (France, Bulgaria...)",Student (undergrad),Communication science ,ChatGPT,"Educational purposes, Creative purposes",Whenever I need to get my work done,4,No,4,4,3,no
2/25/2023 13:12:43,24-26,Male,"North America (Canada, US...)",Student (undergrad),Life / Health Sciences,ChatGPT,"Educational purposes, Entertainment, Creative purposes","Everyday, its part of my daily routine",5,No,1,5,3,yes
2/25/2023 13:15:44,17-20,Male,"East Asia (China, Japan...)",Student (undergrad),Philosophy,"ChatGPT, Copysmith",I don't use it,Never,1,Yes,5,3,5,no
2/25/2023 13:16:05,17-20,Male,"Middle East (Lebanon, Jordan...)",Student (undergrad),Life / Health Sciences,ChatGPT,Educational purposes,Several times a week,5,Yes,3,5,4,yes
2/25/2023 13:16:05,17-20,Male,"North America (Canada, US...)",Student (undergrad),Nutrition ,ChatGPT,Research,Whenever I need to get my work done,3,No,2,4,3,yes
2/25/2023 13:18:30,24-26,Female,"North America (Canada, US...)",Student (undergrad),Computer Science,"Jasper, ChatGPT",I don't use it,Never,2,No,4,4,3,no
2/25/2023 13:19:12,17-20,Male,"Caucasus (Armenia, Georgia..)",Student (undergrad),Business Studies,ChatGPT,Educational purposes,Whenever I need to get my work done,3,Yes,3,4,4,yes
2/25/2023 13:22:24,17-20,Female,"North America (Canada, US...)",Student (undergrad),Political Science ,YouChat,"Educational purposes, I don't use it",Never,1,No,5,1,2,no
2/25/2023 13:29:49,17-20,Female,"North America (Canada, US...)",Student (undergrad),Social Sciences,ChatGPT,I don't use it,Never,1,Yes,5,4,3,no
2/25/2023 13:36:41,17-20,Female,"North America (Canada, US...)",Student (undergrad),Psychology,"Jasper, ChatGPT","Educational purposes, Research, Proof-reading and writing help, Creative purposes",Whenever I need to get my work done,3,No,4,2,3,no
2/25/2023 13:50:58,17-20,Female,"Caucasus (Armenia, Georgia..)",Student (undergrad),Business Studies,ChatGPT,"Entertainment, Proof-reading and writing help",Several times a month,3,No,4,4,2,yes
2/25/2023 13:54:15,17-20,Male,"Caucasus (Armenia, Georgia..)",Student (undergrad),Computer Science,"Jasper, ChatGPT","Educational purposes, Coding help",Several times a week,3,No,2,3,3,yes
